StudentName,ToolID,TranscribedLength,Seconds,Correct,IF,INF,WPM,TotalER,CorrectedER,UncorrectedER,InputStream,TranscribedText,F,CorrectionEfficiency,Participant,Utilised,Wasted
1126061,0,15,36.15366,14,0,4,4.646833,22.22222,0,22.22222,"the ruture is h","the ruture is h",0,0,0,0.7777778,0.2222222
1126061,0,5,4.529648,1,0,23,10.59685,95.83334,0,95.83334,"pplep","pplep",0,0,0,0.04166667,0.9583333
1126061,0,6,2.42384,3,0,28,24.75411,90.32258,0,90.32258,"pfpemm","pfpemm",0,0,0,0.09677419,0.9032258
1126061,0,5,2.085808,2,0,28,23.01267,93.33334,0,93.33334,"pzkdf","pzkdf",0,0,0,0.06666667,0.9333333
1126061,0,3,0.867157,1,0,28,27.67665,96.55173,0,96.55173,"kdd","kdd",0,0,0,0.03448276,0.9655172
1126061,0,5,1.143402,1,0,23,41.97998,95.83334,0,95.83334,"kjfds","kjfds",0,0,0,0.04166667,0.9583333
1126061,0,6,1.845352,2,0,27,32.51412,93.10345,0,93.10345,"gkxkfo","gkxkfo",0,0,0,0.06896552,0.9310345
1126061,0,5,1.531342,2,0,26,31.34507,92.85714,0,92.85714,"fkslf","fkslf",0,0,0,0.07142857,0.9285714
1126061,0,5,1.421692,1,0,30,33.76259,96.77419,0,96.77419,"lddfk","lddfk",0,0,0,0.03225806,0.9677419
1126061,0,4,0.9472885,1,0,26,38.0032,96.2963,0,96.2963,"kkks","kkks",0,0,0,0.03703704,0.962963
1126061,1,3,1.418961,0,0,18,16.91379,100,0,100,"ogo","ogo",0,0,0,0,1
1126061,0,4,4.565956,2,0,16,7.884439,88.88889,0,88.88889,"rno ","rno ",0,0,0,0.1111111,0.8888889
1126061,0,7,26.07439,2,0,22,2.761331,91.66666,0,91.66666,"j.yiilh","j.yiilh",0,0,0,0.08333334,0.9166667
1126061,0,1,1.167404,1,0,30,0,96.77419,0,96.77419,"h","h",0,0,0,0.03225806,0.9677419
1126061,0,1,1.389954,1,0,29,0,96.66666,0,96.66666,"i","i",0,0,0,0.03333334,0.9666666
1126061,0,1,1.402008,1,0,28,0,96.55173,0,96.55173,"n","n",0,0,0,0.03448276,0.9655172
1126061,0,3,34.3329,2,0,22,0.6990379,91.66666,0,91.66666,"hg*","hg*",0,0,0,0.08333334,0.9166667
1126061,0,1,1.887863,1,0,28,0,96.55173,0,96.55173,"u","u",0,0,0,0.03448276,0.9655172
1126061,0,1,1.411774,0,0,28,0,100,0,100,"j","j",0,0,0,0,1
1126061,0,1,1.52829,0,0,31,0,100,0,100,"j","j",0,0,0,0,1
1126061,0,1,1.455994,0,0,27,0,100,0,100,"j","j",0,0,0,0,1
1126061,1,1,1.466476,0,0,18,0,100,0,100,"k","k",0,0,0,0,1
1126061,1,2,2.400909,2,0,22,4.998106,91.66666,0,91.66666,"n ","n ",0,0,0,0.08333334,0.9166667
